"survey_dt_gmt","polyid","glacier_name","counting_method","num_seals","off_image_count","standard_error","stockid","stockname","survey_date"
2012-08-16 00:17:00,"DF10","John Hopkins Inlet","LATTE",2005.517,NA,155.2601,8,"Glacier Bay/Icy Strait",2012-08-15
2012-08-16 23:28:00,"DF10","John Hopkins Inlet","LATTE",2020.998,NA,171.092,8,"Glacier Bay/Icy Strait",2012-08-16
2013-06-14 20:28:00,"DF10","John Hopkins Inlet","LATTE",3081.119,NA,135.0508,8,"Glacier Bay/Icy Strait",2013-06-14
2013-06-19 20:25:00,"DF10","John Hopkins Inlet","LATTE",2390.266,NA,119.8986,8,"Glacier Bay/Icy Strait",2013-06-19
2013-06-20 20:52:00,"DF10","John Hopkins Inlet","LATTE",2050.922,NA,118.0368,8,"Glacier Bay/Icy Strait",2013-06-20
2013-06-21 20:02:00,"DF10","John Hopkins Inlet","LATTE",2502.797,NA,126.897,8,"Glacier Bay/Icy Strait",2013-06-21
2013-08-13 20:25:00,"DF10","John Hopkins Inlet","LATTE",1581.853,NA,186.1719,8,"Glacier Bay/Icy Strait",2013-08-13
2013-08-14 22:06:00,"DF10","John Hopkins Inlet","LATTE",2278.553,NA,245.7481,8,"Glacier Bay/Icy Strait",2013-08-14
2013-08-15 21:53:00,"DF10","John Hopkins Inlet","LATTE",2192.351,NA,340.9813,8,"Glacier Bay/Icy Strait",2013-08-15
2013-08-20 21:09:00,"DF10","John Hopkins Inlet","LATTE",1705.359,NA,110.5765,8,"Glacier Bay/Icy Strait",2013-08-20
2014-06-19 20:12:00,"DF10","John Hopkins Inlet","LATTE",2629.52,NA,127.5771,8,"Glacier Bay/Icy Strait",2014-06-19
2014-06-27 00:02:00,"DF10","John Hopkins Inlet","LATTE",1805.173,NA,91.33272,8,"Glacier Bay/Icy Strait",2014-06-26
2014-06-27 19:50:00,"DF10","John Hopkins Inlet","LATTE",1785.108,NA,104.638,8,"Glacier Bay/Icy Strait",2014-06-27
2014-06-28 19:33:00,"DF10","John Hopkins Inlet","LATTE",1963.127,NA,94.99195,8,"Glacier Bay/Icy Strait",2014-06-28
2014-08-02 22:05:00,"DF10","John Hopkins Inlet","LATTE",1939.997,NA,261.5947,8,"Glacier Bay/Icy Strait",2014-08-02
2014-08-03 19:38:00,"DF10","John Hopkins Inlet","LATTE",2582.751,NA,206.1957,8,"Glacier Bay/Icy Strait",2014-08-03
2014-08-23 20:25:00,"DF10","John Hopkins Inlet","LATTE",1946.179,NA,108.4688,8,"Glacier Bay/Icy Strait",2014-08-23
2015-06-12 21:22:00,"DF10","John Hopkins Inlet","LATTE",2847.748,NA,114.2576,8,"Glacier Bay/Icy Strait",2015-06-12
2015-06-13 20:36:00,"DF10","John Hopkins Inlet","LATTE",2883.835,NA,140.0321,8,"Glacier Bay/Icy Strait",2015-06-13
2015-06-20 00:32:00,"DF10","John Hopkins Inlet","LATTE",1262.313,NA,135.3374,8,"Glacier Bay/Icy Strait",2015-06-19
2015-06-20 21:03:00,"DF10","John Hopkins Inlet","LATTE",2367.629,NA,116.8415,8,"Glacier Bay/Icy Strait",2015-06-20
2015-08-14 20:32:00,"DF10","John Hopkins Inlet","LATTE",1601.897,NA,241.4596,8,"Glacier Bay/Icy Strait",2015-08-14
2015-08-21 00:48:00,"DF10","John Hopkins Inlet","LATTE",1278.723,NA,194.0327,8,"Glacier Bay/Icy Strait",2015-08-20
2015-08-25 22:23:00,"DF10","John Hopkins Inlet","LATTE",912.096,NA,42.18095,8,"Glacier Bay/Icy Strait",2015-08-25
2015-08-26 21:21:00,"DF10","John Hopkins Inlet","LATTE",1689.999,NA,73.01904,8,"Glacier Bay/Icy Strait",2015-08-26
2016-06-14 20:31:00,"DF10","John Hopkins Inlet","LATTE",2538.759,NA,124.756,8,"Glacier Bay/Icy Strait",2016-06-14
2016-06-16 20:12:00,"DF10","John Hopkins Inlet","LATTE",1210.537,NA,98.34447,8,"Glacier Bay/Icy Strait",2016-06-16
2016-06-17 21:53:00,"DF10","John Hopkins Inlet","LATTE",1870.3,NA,112.9502,8,"Glacier Bay/Icy Strait",2016-06-17
2016-08-17 23:27:00,"DF10","John Hopkins Inlet","LATTE",1346.65,NA,51.29415,8,"Glacier Bay/Icy Strait",2016-08-17
2016-08-20 23:05:00,"DF10","John Hopkins Inlet","LATTE",1565.419,NA,90.63282,8,"Glacier Bay/Icy Strait",2016-08-20
2016-08-22 00:18:00,"DF10","John Hopkins Inlet","LATTE",1443.2,NA,130.3097,8,"Glacier Bay/Icy Strait",2016-08-21
2016-08-28 20:59:00,"DF10","John Hopkins Inlet","LATTE",544.824,NA,169.448,8,"Glacier Bay/Icy Strait",2016-08-28
2017-06-21 22:31:00,"DF10","John Hopkins Inlet","LATTE",1548.414,NA,74.556726,8,"Glacier Bay/Icy Strait",2017-06-21
2017-06-23 00:11:00,"DF10","John Hopkins Inlet","LATTE",1191.025,NA,77.758036,8,"Glacier Bay/Icy Strait",2017-06-22
